set J:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;
set I:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15;

param: h :=
1	71518
2	131346
3	134421
4	53597
5	37220
6	8437
7	20489
8	3817117
9	200186
10	107449
11	980263
12	375770
13	47420
14	211033
15	195751;

param: f :=
1	107000
2	113000
3	113000
4	105000
5	104000
6	101000
7	102000
8	482000
9	120000
10	111000
11	198000
12	138000
13	105000
14	121000
15	120000;

param c := 0.0052;

param: d :=
1	1	0
2	1	233
3	1	139
4	1	127
5	1	156
6	1	146
7	1	282
8	1	193
9	1	264
10	1	47
11	1	227
12	1	183
13	1	257
14	1	157
15	1	319
1	2	233
2	2	0
3	2	300
4	2	153
5	2	77
6	2	95
7	2	282
8	2	165
9	2	340
10	2	210
11	2	76
12	2	77
13	2	55
14	2	238
15	2	258
1	3	139
2	3	300
3	3	0
4	3	147
5	3	234
6	3	242
7	3	193
8	3	173
9	3	139
10	3	115
11	3	257
12	3	226
13	3	298
14	3	84
15	3	256
1	4	127
2	4	153
3	4	147
4	4	0
5	4	96
6	4	115
7	4	180
8	4	69
9	4	203
10	4	84
11	4	114
12	4	80
13	4	154
14	4	89
15	4	199
1	5	156
2	5	77
3	5	234
4	5	96
5	5	0
6	5	31
7	5	262
8	5	138
9	5	298
10	5	135
11	5	96
12	5	56
13	5	110
14	5	186
15	5	259
1	6	146
2	6	95
3	6	242
4	6	115
5	6	31
6	6	0
7	6	288
8	6	165
9	6	318
10	6	134
11	6	126
12	6	87
13	6	137
14	6	202
15	6	289
1	7	282
2	7	282
3	7	193
4	7	180
5	7	262
6	7	288
7	7	0
8	7	124
9	7	97
10	7	236
11	7	208
12	7	215
13	7	246
14	7	127
15	7	76
1	8	193
2	8	165
3	8	173
4	8	69
5	8	138
6	8	165
7	8	124
8	8	0
9	8	176
10	8	148
11	8	98
12	8	92
13	8	141
14	8	91
15	8	131
1	9	264
2	9	340
3	9	139
4	9	203
5	9	298
6	9	318
7	9	97
8	9	176
9	9	0
10	9	226
11	9	273
12	9	264
13	9	315
14	9	118
15	9	173
1	10	47
2	10	210
3	10	115
4	10	84
5	10	135
6	10	134
7	10	236
8	10	148
9	10	226
10	10	0
11	10	191
12	10	150
13	10	225
14	10	114
15	10	272
1	11	227
2	11	76
3	11	257
4	11	114
5	11	96
6	11	126
7	11	208
8	11	98
9	11	273
10	11	191
11	11	0
12	11	45
13	11	43
14	11	183
15	11	183
1	12	183
2	12	77
3	12	226
4	12	80
5	12	56
6	12	87
7	12	215
8	12	92
9	12	264
10	12	150
11	12	45
12	12	0
13	12	76
14	12	161
15	12	205
1	13	257
2	13	55
3	13	298
4	13	154
5	13	110
6	13	137
7	13	246
8	13	141
9	13	315
10	13	225
11	13	43
12	13	76
13	13	0
14	13	226
15	13	212
1	14	157
2	14	238
3	14	84
4	14	89
5	14	186
6	14	202
7	14	127
8	14	91
9	14	118
10	14	114
11	14	183
12	14	161
13	14	226
14	14	0
15	14	178
1	15	319
2	15	258
3	15	256
4	15	199
5	15	259
6	15	289
7	15	76
8	15	131
9	15	173
10	15	272
11	15	183
12	15	205
13	15	212
14	15	178
15	15	0;
